3,74,0.0008104806424711965
3,75,0.0010308094482435804
3,76,0.0012978036081214186
3,77,0.0016174526485312007
3,78,0.0019954621536528243
3,79,0.002436925091961992
3,80,0.0029459488107819727
3,81,0.003525252500820788
3,82,0.004175755616277468
3,83,0.004896182849504416
3,84,0.005682715168448104
3,85,0.006528718496967715
3,86,0.007424581297146518
3,87,0.008357689202855787
3,88,0.009312558794609491
3,89,0.010271143730614204
3,90,0.011213315214991628
3,91,0.012117505964587773
3,92,0.012961493470532055
3,93,0.013723285656967068
3,94,0.014382061289234768
3,95,0.014919109862349301
3,96,0.015318712161736175
3,97,0.015568903827904932
3,98,0.015662070221641188
3,99,0.015595331332968681
3,100,0.01537068958931283
3,101,0.014994929983183334
3,102,0.01447927947453377
3,103,0.013838849536722191
3,104,0.013091900484257514
3,105,0.012258977556651087
3,106,0.011361975718813713
3,107,0.010423192318860065
3,108,0.009464424156341354
3,109,0.00850615866077592
3,110,0.007566898649601056
3,111,0.006662647678187428
3,112,0.0058065695856366634
3,113,0.0050088227283076915
3,114,0.004276557674927329
3,115,0.0036140576572488503
3,116,0.0030229943615250735
3,117,0.0025027679127873413
3,118,0.002050899043562381
3,119,0.001663443095421623
3,120,0.0013353991405885568
3,121,0.0010610925000421457
3,122,0.0008345146258111168
3,123,0.0006496101116897506
3,124,0.0005005060036440581
3,125,0.00038168323582742227
3,126,0.00028809369915476176
3,127,0.00021522906972518114
4,0,0
4,1,0
4,2,0
4,3,0
4,4,0
4,5,0
4,6,0
4,7,0
4,8,0
4,9,0
4,10,0
4,11,0
4,12,0
4,13,0
4,14,0
4,15,0
4,16,0
4,17,0
4,18,0
4,19,0
4,20,0
4,21,0
4,22,0
4,23,0
4,24,0
4,25,0
4,26,0
4,27,0
4,28,0
4,29,0
4,30,0
4,31,0
4,32,0
4,33,0
4,34,0
4,35,0
4,36,0
4,37,0
4,38,0
4,39,0
4,40,0
4,41,0
4,42,0
4,43,0
4,44,0
4,45,0
4,46,0
4,47,0
4,48,0
4,49,0
4,50,0
4,51,0
4,52,0
4,53,0
4,54,0
4,55,0
4,56,0
4,57,0
4,58,0
4,59,0
4,60,0
4,61,0
4,62,0
4,63,0
4,64,0
4,65,0
4,66,0
4,67,0
4,68,0
4,69,0.000248061387886565
4,70,0.00033095041002258657
4,71,0.0004371295808843817
4,72,0.0005716050322547487
4,73,0.0007399728410429541
4,74,0.000948341958544188
4,75,0.0012032043347195167
4,76,0.0015112455908830049
4,77,0.0018790924336670846
4,78,0.002312996991438456
4,79,0.002818463301159963
4,80,0.0033998270447486087
4,81,0.0040598059420972376
4,82,0.004799044422474168
4,83,0.0056156816738171115
4,84,0.006504976207862483
4,85,0.007459021988623215
4,86,0.008466590362039634
4,87,0.00951312809401522
4,88,0.010580934641017828
4,89,0.011649531540922332
4,90,0.01269622407832465
4,91,0.013696841047461808
4,92,0.01462662368845247
4,93,0.01546122106801143
4,94,0.016177737712559224
4,95,0.016755771459902324
4,96,0.017178376280045288
4,97,0.017432886820058835
4,98,0.0175115487415674
4,99,0.01741191109033716
4,100,0.01713695300026466
4,101,0.016694935601922055
4,102,0.016098989415868768
4,103,0.01536646600582521
4,104,0.014518098588446304
4,105,0.013577028267268837
4,106,0.012567759626476962
4,107,0.011515111150223864
4,108,0.010443222433826367
4,109,0.009374672038206286
4,110,0.00832974813278153
4,111,0.007325900072150061
4,112,0.006377384170410639
4,113,0.005495102541402609
4,114,0.004686621147222118
4,115,0.003956343036470379
4,116,0.003305805704617043
4,117,0.002734067756097759
4,118,0.0022381494422364736
4,119,0.0018134937703491501
4,120,0.0014544191190506497
4,121,0.0011545399479439774
4,122,0.0009071385423824531
4,123,0.000705477135898415
